true_class,predicted_class,count
Russian Blue,British Shorthair,25
Scottish Terrier,Newfoundland,22
Bengal,Abyssinian,18
Persian,Ragdoll,16
British Shorthair,Russian Blue,14
Samoyed,Great Pyrenees,14
Maine Coon,Persian,13
Chihuahua,Beagle,13
Wheaten Terrier,American Bulldog,13
Birman,Ragdoll,13
Japanese Chin,Pug,12
Beagle,Basset Hound,12
Boxer,Basset Hound,12
English Cocker Spaniel,Newfoundland,12
Siamese,Ragdoll,11
Abyssinian,Bengal,11
Siamese,Birman,11
English Setter,American Bulldog,11
Great Pyrenees,Ragdoll,11
Basset Hound,Miniature Pinscher,11
Saint Bernard,American Bulldog,10
Russian Blue,Keeshond,10
Basset Hound,Saint Bernard,10
Miniature Pinscher,Basset Hound,10
Pomeranian,Abyssinian,10
Havanese,Saint Bernard,10
English Setter,American Pit Bull Terrier,10
Staffordshire Bull Terrier,Basset Hound,10
Sphynx,American Pit Bull Terrier,10
Chihuahua,American Pit Bull Terrier,10
Shiba Inu,Pomeranian,10
Keeshond,Russian Blue,10
Staffordshire Bull Terrier,Miniature Pinscher,10
Scottish Terrier,Russian Blue,10
Samoyed,American Bulldog,10
Beagle,Japanese Chin,10
Bengal,American Pit Bull Terrier,9
Havanese,American Bulldog,9
Shiba Inu,American Pit Bull Terrier,9
Keeshond,British Shorthair,9
German Shorthaired,Basset Hound,9
American Pit Bull Terrier,Basset Hound,9
Pug,Saint Bernard,9
Pomeranian,Ragdoll,9
American Bulldog,English Setter,9
Abyssinian,American Pit Bull Terrier,9
Miniature Pinscher,German Shorthaired,9
Maine Coon,Pomeranian,9
Saint Bernard,Japanese Chin,9
Saint Bernard,American Pit Bull Terrier,9
Havanese,Great Pyrenees,9
Egyptian Mau,British Shorthair,9
English Cocker Spaniel,Basset Hound,9
Sphynx,Abyssinian,9
Boxer,American Pit Bull Terrier,9
Shiba Inu,Basset Hound,8
German Shorthaired,Boxer,8
Scottish Terrier,British Shorthair,8
Great Pyrenees,American Bulldog,8
Birman,Siamese,8
Egyptian Mau,German Shorthaired,8
Abyssinian,Saint Bernard,8
Yorkshire Terrier,Miniature Pinscher,8
Chihuahua,American Bulldog,8
Chihuahua,Basset Hound,8
Keeshond,German Shorthaired,8
Pomeranian,American Pit Bull Terrier,8
Persian,Maine Coon,8
American Bulldog,Wheaten Terrier,8
Wheaten Terrier,Great Pyrenees,8
Pomeranian,Persian,8
Great Pyrenees,Samoyed,8
Samoyed,Ragdoll,8
Bengal,Maine Coon,8
Ragdoll,Siamese,8
Newfoundland,Bombay,8
American Pit Bull Terrier,German Shorthaired,8
Pug,English Setter,7
Basset Hound,Beagle,7
Pug,Great Pyrenees,7
Pug,Havanese,7
Leonberger,German Shorthaired,7
American Pit Bull Terrier,Shiba Inu,7
Wheaten Terrier,Havanese,7
Wheaten Terrier,Abyssinian,7
Miniature Pinscher,Abyssinian,7
American Pit Bull Terrier,Saint Bernard,7
Maine Coon,Egyptian Mau,7
Beagle,Saint Bernard,7
Beagle,Shiba Inu,7
Chihuahua,Shiba Inu,7
American Bulldog,Great Pyrenees,7
American Bulldog,Japanese Chin,7
Shiba Inu,Beagle,7
English Setter,Basset Hound,7
Yorkshire Terrier,Shiba Inu,7
Yorkshire Terrier,Abyssinian,7
Siamese,Shiba Inu,7
Staffordshire Bull Terrier,Shiba Inu,7
German Shorthaired,Staffordshire Bull Terrier,7
Havanese,Japanese Chin,7
Boxer,German Shorthaired,7
Birman,British Shorthair,7
Great Pyrenees,Japanese Chin,7
Samoyed,Japanese Chin,7
Yorkshire Terrier,Persian,6
Birman,Japanese Chin,6
Yorkshire Terrier,Havanese,6
British Shorthair,Sphynx,6
Boxer,Saint Bernard,6
Siamese,Great Pyrenees,6
Sphynx,Beagle,6
British Shorthair,Egyptian Mau,6
Staffordshire Bull Terrier,American Pit Bull Terrier,6
Siamese,Bombay,6
English Cocker Spaniel,American Bulldog,6
English Setter,Great Pyrenees,6
Great Pyrenees,Persian,6
English Setter,Havanese,6
English Cocker Spaniel,Abyssinian,6
Bombay,Newfoundland,6
Boxer,Miniature Pinscher,6
American Pit Bull Terrier,Maine Coon,6
Bengal,English Cocker Spaniel,6
Birman,Russian Blue,6
Russian Blue,Egyptian Mau,6
Pug,Boxer,6
American Pit Bull Terrier,Beagle,6
American Bulldog,Pug,6
Miniature Pinscher,American Bulldog,6
Ragdoll,Japanese Chin,6
Ragdoll,Maine Coon,6
Leonberger,English Cocker Spaniel,6
