number,value,datetime_start,datetime_complete,duration,params_augmentation,params_base_channels,params_batch_size,params_dropout_rate,params_learning_rate,params_num_layers,params_pooling_type,user_attrs_channels,user_attrs_val_loss,state
0,0.11277173913043478,2026-07-02 01:21:41.750704,2026-07-02 01:22:32.925822,0 days 00:00:51.175118,False,16,32,0.3,0.00045821447939907835,4,max,"(16, 32, 64, 128)",3.3163196211275845,COMPLETE
1,0.020380434782608696,2026-07-02 01:22:32.926286,2026-07-02 01:23:51.771848,0 days 00:01:18.845562,False,64,16,0.3,0.008916050860988645,3,avg,"(64, 128, 256)",3.619293150694474,COMPLETE
2,0.019021739130434784,2026-07-02 01:23:51.772219,2026-07-02 01:25:21.195722,0 days 00:01:29.423503,False,64,64,0.2,0.0033258929929576475,4,max,"(64, 128, 256, 512)",3.6157975594202676,COMPLETE
3,0.07201086956521739,2026-07-02 01:25:21.196110,2026-07-02 01:26:28.522462,0 days 00:01:07.326352,False,64,64,0.2,0.00010210031375681084,2,max,"(64, 128)",3.409478267033895,COMPLETE
4,0.020380434782608696,2026-07-02 01:26:28.522808,2026-07-02 01:27:15.755272,0 days 00:00:47.232464,False,16,32,0.5,0.0030071979693907795,3,max,"(16, 32, 64)",3.6160384261089824,COMPLETE
5,0.017663043478260868,2026-07-02 01:27:15.755606,2026-07-02 01:28:35.153493,0 days 00:01:19.397887,True,64,32,0.3,0.00225546022157968,3,max,"(64, 128, 256)",3.615917568621428,COMPLETE
6,0.017663043478260868,2026-07-02 01:28:35.153917,2026-07-02 01:29:29.310668,0 days 00:00:54.156751,True,32,64,0.3,0.009571269695684163,2,max,"(32, 64)",3.618189970652262,COMPLETE
7,0.08831521739130435,2026-07-02 01:29:29.311046,2026-07-02 01:30:58.590713,0 days 00:01:29.279667,True,64,64,0.5,0.0004220107301912086,4,max,"(64, 128, 256, 512)",3.3815232117970786,COMPLETE
8,0.10869565217391304,2026-07-02 01:30:58.591055,2026-07-02 01:31:46.337345,0 days 00:00:47.746290,False,16,16,0.3,0.0009848947428954485,3,max,"(16, 32, 64)",3.266406458357106,COMPLETE
9,0.10326086956521739,2026-07-02 01:31:46.337682,2026-07-02 01:33:05.657623,0 days 00:01:19.319941,True,64,16,0.5,0.00025747509011934483,3,avg,"(64, 128, 256)",3.326024216154347,COMPLETE
10,0.08423913043478261,2026-07-02 01:33:05.657951,2026-07-02 01:33:53.548140,0 days 00:00:47.890189,False,16,32,0.0,0.00012196598766291462,4,avg,"(16, 32, 64, 128)",3.3492388310639756,COMPLETE
11,0.09782608695652174,2026-07-02 01:33:53.548489,2026-07-02 01:34:44.847956,0 days 00:00:51.299467,False,16,16,0.3,0.000791625279943493,4,max,"(16, 32, 64, 128)",3.307809399521869,COMPLETE
12,0.10054347826086957,2026-07-02 01:34:44.848355,2026-07-02 01:35:33.690499,0 days 00:00:48.842144,False,16,16,0.3,0.0009594041108967399,3,max,"(16, 32, 64)",3.263007112171339,COMPLETE
13,0.12092391304347826,2026-07-02 01:35:33.690834,2026-07-02 01:36:19.556817,0 days 00:00:45.865983,False,16,32,0.0,0.0009797846279842822,2,max,"(16, 32)",3.170602321624756,COMPLETE
14,0.10054347826086957,2026-07-02 01:36:19.557147,2026-07-02 01:37:09.703618,0 days 00:00:50.146471,False,32,32,0.0,0.00033738255098889085,2,avg,"(32, 64)",3.2980811906897505,COMPLETE
15,0.10597826086956522,2026-07-02 01:37:09.703978,2026-07-02 01:37:55.276880,0 days 00:00:45.572902,False,16,32,0.0,0.0005581291971873051,2,max,"(16, 32)",3.2119137515192446,COMPLETE
16,0.125,2026-07-02 01:37:55.277209,2026-07-02 01:38:40.589490,0 days 00:00:45.312281,False,16,32,0.0,0.0016726081030450782,2,max,"(16, 32)",3.172144651412964,COMPLETE
17,0.10190217391304347,2026-07-02 01:38:40.589831,2026-07-02 01:39:32.384845,0 days 00:00:51.795014,False,32,32,0.0,0.0015557440594825046,2,max,"(32, 64)",3.2976844725401504,COMPLETE
18,0.10869565217391304,2026-07-02 01:39:32.385192,2026-07-02 01:40:17.427616,0 days 00:00:45.042424,True,16,32,0.0,0.0016039215600014893,2,avg,"(16, 32)",3.219257282174152,COMPLETE
19,0.017663043478260868,2026-07-02 01:40:17.428022,2026-07-02 01:41:03.065172,0 days 00:00:45.637150,False,16,32,0.0,0.004520097439859356,2,max,"(16, 32)",3.61760341602823,COMPLETE
20,0.09103260869565218,2026-07-02 01:41:03.065529,2026-07-02 01:41:48.352091,0 days 00:00:45.286562,False,16,32,0.0,0.00020028315107864565,2,max,"(16, 32)",3.3318871726160464,COMPLETE
21,0.10597826086956522,2026-07-02 01:41:48.352423,2026-07-02 01:42:36.120063,0 days 00:00:47.767640,False,16,32,0.0,0.0012685396378997642,3,max,"(16, 32, 64)",3.267587236736132,COMPLETE
22,0.11141304347826086,2026-07-02 01:42:36.120392,2026-07-02 01:43:25.936893,0 days 00:00:49.816501,False,16,32,0.2,0.0006170688570647521,4,max,"(16, 32, 64, 128)",3.2798397230065386,COMPLETE
23,0.10326086956521739,2026-07-02 01:43:25.937237,2026-07-02 01:44:12.323834,0 days 00:00:46.386597,False,16,32,0.0,0.0005183073830072874,2,max,"(16, 32)",3.2126068239626675,COMPLETE
24,0.09103260869565218,2026-07-02 01:44:12.324227,2026-07-02 01:45:01.281502,0 days 00:00:48.957275,False,16,32,0.0,0.002033582120250326,3,max,"(16, 32, 64)",3.317788248476775,COMPLETE
